video_label,video_id,nationality,condition,composition,rating,new_label
U_cooking_f_s_IV_preference,1,Ukraine,cooking,female,preference,v_1_Ukraine_cooking_female_preference
U_cooking_m_s_II_preference,2,Ukraine,cooking,male,preference,v_2_Ukraine_cooking_male_preference
U_cooking_f_s_III_preference,3,Ukraine,cooking,female,preference,v_3_Ukraine_cooking_female_preference
U_cooking_f_s_II_preference,4,Ukraine,cooking,female,preference,v_4_Ukraine_cooking_female_preference
U_cooking_f_s_I_preference,5,Ukraine,cooking,female,preference,v_5_Ukraine_cooking_female_preference
U_cooking_f_s_VIII_preference,6,Ukraine,cooking,female,preference,v_6_Ukraine_cooking_female_preference
U_cooking_f_s_VII_preference,7,Ukraine,cooking,female,preference,v_7_Ukraine_cooking_female_preference
U_cooking_f_s_VI_preference,8,Ukraine,cooking,female,preference,v_8_Ukraine_cooking_female_preference
U_cooking_f_s_V_preference,9,Ukraine,cooking,female,preference,v_9_Ukraine_cooking_female_preference
U_cooking_gr_ac_II_preference,10,Ukraine,cooking,group,preference,v_10_Ukraine_cooking_group_preference
U_cooking_gr_ac_I_preference,11,Ukraine,cooking,group,preference,v_11_Ukraine_cooking_group_preference
U_cooking_gr_ac_VI_preference,12,Ukraine,cooking,group,preference,v_12_Ukraine_cooking_group_preference
U_cooking_gr_ac_V_preference,13,Ukraine,cooking,group,preference,v_13_Ukraine_cooking_group_preference
U_cooking_m_s_I_preference,14,Ukraine,cooking,male,preference,v_14_Ukraine_cooking_male_preference
U_cooking_m_s_VIII_preference,15,Ukraine,cooking,male,preference,v_15_Ukraine_cooking_male_preference
U_cooking_m_s_VI_preference,16,Ukraine,cooking,male,preference,v_16_Ukraine_cooking_male_preference
U_m_F_S_In_II_preference,17,Ukraine,music,female,preference,v_17_Ukraine_music_female_preference
U_m_F_S_In_IV_preference,18,Ukraine,music,female,preference,v_18_Ukraine_music_female_preference
U_m_Gr_In_II_preference,19,Ukraine,music,group,preference,v_19_Ukraine_music_group_preference
U_m_Gr_In_VII_preference,20,Ukraine,music,group,preference,v_20_Ukraine_music_group_preference
U_m_m_s_in_VII_preference,21,Ukraine,music,male,preference,v_21_Ukraine_music_male_preference
U_m_m_s_in_V_preference,22,Ukraine,music,male,preference,v_22_Ukraine_music_male_preference
U_m_s_f_s_I_preference,23,Ukraine,music,female,preference,v_23_Ukraine_music_female_preference
U_m_s_f_s_VIII_preference,24,Ukraine,music,female,preference,v_24_Ukraine_music_female_preference
U_m_s_f_s_V_preference,25,Ukraine,music,female,preference,v_25_Ukraine_music_female_preference
U_m_s_gr_ac_III_preference,26,Ukraine,music,group,preference,v_26_Ukraine_music_group_preference
U_m_s_gr_ac_I_preference,27,Ukraine,music,group,preference,v_27_Ukraine_music_group_preference
U_m_s_gr_ac_VIII_preference,28,Ukraine,music,group,preference,v_28_Ukraine_music_group_preference
U_m_s_gr_ac_VI_preference,29,Ukraine,music,group,preference,v_29_Ukraine_music_group_preference
U_m_s_gr_ac_V_preference,30,Ukraine,music,group,preference,v_30_Ukraine_music_group_preference
U_m_s_in_f_s_III_preference,31,Ukraine,music,female,preference,v_31_Ukraine_music_female_preference
U_m_s_in_f_s_IV_preference,32,Ukraine,music,female,preference,v_32_Ukraine_music_female_preference
U_m_s_in_f_s_V_preference,33,Ukraine,music,female,preference,v_33_Ukraine_music_female_preference
U_m_s_in_gr_ac_II_preference,34,Ukraine,music,group,preference,v_34_Ukraine_music_group_preference
U_m_s_in_gr_ac_IV_preference,35,Ukraine,music,group,preference,v_35_Ukraine_music_group_preference
U_m_s_in_gr_ac_I_preference,36,Ukraine,music,group,preference,v_36_Ukraine_music_group_preference
U_m_s_in_m_s_II_preference,37,Ukraine,music,male,preference,v_37_Ukraine_music_male_preference
U_m_s_m_s_I_preference,38,Ukraine,music,male,preference,v_38_Ukraine_music_male_preference
