"","vid","nationality","condition","composition","conditions","new_label","n","mean","sd","lower_ci","upper_ci","selected"
"1","vid1","Ukraine","cooking","female","Ukraine-cooking","v_1_Ukraine_cooking_female_valence",24,3.52173913041667,0.972203468478169,3.1327838817825,3.91069437905083,FALSE
"2","vid10","Ukraine","cooking","group","Ukraine-cooking","v_10_Ukraine_cooking_group_valence",20,3.6842105263,0.729284550555317,3.364593352772,4.003827699828,FALSE
"3","vid11","Ukraine","cooking","group","Ukraine-cooking","v_11_Ukraine_cooking_group_valence",23,3.31818181817391,1.0174104220727,2.90238577215669,3.73397786419114,FALSE
"4","vid12","Ukraine","cooking","group","Ukraine-cooking","v_12_Ukraine_cooking_group_valence",20,3.2105263158,0.95028789922462,2.79405193394623,3.62700069765377,FALSE
"5","vid13","Ukraine","cooking","group","Ukraine-cooking","v_13_Ukraine_cooking_group_valence",19,3.38888888889474,0.950957931590205,2.96129391115581,3.81648386663366,FALSE
"6","vid14","Ukraine","cooking","male","Ukraine-cooking","v_14_Ukraine_cooking_male_valence",18,3.47058823527778,1.03569510950935,2.99213029756802,3.94904617298754,FALSE
"7","vid15","Ukraine","cooking","male","Ukraine-cooking","v_15_Ukraine_cooking_male_valence",24,3.60869565216667,0.966352642212733,3.22208117854367,3.99531012578966,FALSE
"8","vid16","Ukraine","cooking","male","Ukraine-cooking","v_16_Ukraine_cooking_male_valence",20,3,0.973328526784575,2.57342780344356,3.42657219655644,FALSE
"9","vid17","Ukraine","music","female","Ukraine-music","v_17_Ukraine_music_female_valence",23,2.27272727273913,1.09469041625385,1.82534838137294,2.72010616410533,FALSE
"10","vid18","Ukraine","music","female","Ukraine-music","v_18_Ukraine_music_female_valence",20,3.6842105263,0.976170367946916,3.2563928608258,4.1120281917742,FALSE
"11","vid19","Ukraine","music","group","Ukraine-music","v_19_Ukraine_music_group_valence",21,4.25,0.82915619758885,3.89537055293574,4.60462944706426,FALSE
"12","vid2","Ukraine","cooking","male","Ukraine-cooking","v_2_Ukraine_cooking_male_valence",24,3.69565217391667,1.03984876026969,3.27963366934814,4.11167067848519,FALSE
"13","vid20","Ukraine","music","group","Ukraine-music","v_20_Ukraine_music_group_valence",21,4.6,0.58309518948453,4.35061065064213,4.84938934935787,FALSE
"14","vid21","Ukraine","music","male","Ukraine-music","v_21_Ukraine_music_male_valence",21,2.75,1.13468057179102,2.26469802078432,3.23530197921568,FALSE
"15","vid22","Ukraine","music","male","Ukraine-music","v_22_Ukraine_music_male_valence",20,3.15789473685,1.08885057187248,2.68069370206703,3.63509577163297,FALSE
"16","vid23","Ukraine","music","female","Ukraine-music","v_23_Ukraine_music_female_valence",24,2.43478260870833,1.01407859040788,2.02907412992241,2.84049108749426,FALSE
"17","vid24","Ukraine","music","female","Ukraine-music","v_24_Ukraine_music_female_valence",20,2.6842105263,1.12636497679119,2.19056838076325,3.17785267183675,FALSE
"18","vid25","Ukraine","music","female","Ukraine-music","v_25_Ukraine_music_female_valence",24,3.130434782625,1.03438063072785,2.71660394530357,3.54426561994643,FALSE
"19","vid26","Ukraine","music","group","Ukraine-music","v_26_Ukraine_music_group_valence",21,3.1,1.22065556157337,2.57792658594909,3.62207341405091,FALSE
"20","vid27","Ukraine","music","group","Ukraine-music","v_27_Ukraine_music_group_valence",20,2.36842105265,0.929659038560826,1.96098750147534,2.77585460382466,FALSE
"21","vid28","Ukraine","music","group","Ukraine-music","v_28_Ukraine_music_group_valence",23,2.95454545456522,0.877873087083089,2.59577563012165,3.31331527900879,FALSE
"22","vid29","Ukraine","music","group","Ukraine-music","v_29_Ukraine_music_group_valence",20,2.5789473684,0.87754378950174,2.19435391247937,2.96354082432063,FALSE
"23","vid3","Ukraine","cooking","female","Ukraine-cooking","v_3_Ukraine_cooking_female_valence",18,3.05882352938889,0.802245982175639,2.68821160446676,3.42943545431102,FALSE
"24","vid30","Ukraine","music","group","Ukraine-music","v_30_Ukraine_music_group_valence",25,3.91666666668,1.03749163316573,3.50997741962671,4.32335591373329,FALSE
"25","vid31","Ukraine","music","female","Ukraine-music","v_31_Ukraine_music_female_valence",23,3.5,1.23398836004529,2.9956927216326,4.0043072783674,FALSE
"26","vid32","Ukraine","music","female","Ukraine-music","v_32_Ukraine_music_female_valence",23,3.18181818182609,0.886072213164451,2.8196975324534,3.54393883119878,FALSE
"27","vid33","Ukraine","music","female","Ukraine-music","v_33_Ukraine_music_female_valence",19,2.88888888889474,0.808901098808946,2.52516927959528,3.25260849819419,FALSE
"28","vid34","Ukraine","music","group","Ukraine-music","v_34_Ukraine_music_group_valence",18,2.47058823527778,1.24227718129076,1.89669600312671,3.04448046742884,FALSE
"29","vid35","Ukraine","music","group","Ukraine-music","v_35_Ukraine_music_group_valence",23,4.22727272726087,0.734340655518341,3.92716184342288,4.52738361109886,FALSE
"30","vid36","Ukraine","music","group","Ukraine-music","v_36_Ukraine_music_group_valence",22,2.80952380954545,1.05193914449402,2.36995449571265,3.24909312337826,FALSE
"31","vid37","Ukraine","music","male","Ukraine-music","v_37_Ukraine_music_male_valence",20,3.2105263158,1.10400931386332,2.72668179149616,3.69437084010384,FALSE
"32","vid38","Ukraine","music","male","Ukraine-music","v_38_Ukraine_music_male_valence",18,2.82352941177778,0.984305913569501,2.36881163512912,3.27824718842644,FALSE
"33","vid39","Ukraine","music","male","Ukraine-music","v_39_Ukraine_music_male_valence",19,3.16666666668421,0.833333333333333,2.79196118678994,3.54137214657848,FALSE
"34","vid4","Ukraine","cooking","female","Ukraine-cooking","v_4_Ukraine_cooking_female_valence",24,3.17391304345833,0.815724479969292,2.84756127841055,3.50026480850612,FALSE
"35","vid40","Ukraine","music","male","Ukraine-music","v_40_Ukraine_music_male_valence",25,3.29166666668,1.05984144516474,2.87621645431084,3.70711687904916,TRUE
"36","vid41","Levantine","cooking","female","Levantine-cooking","v_41_Levantine_cooking_female_valence",25,3.29166666668,0.888780375320898,2.94327116152101,3.64006217183899,TRUE
"37","vid42","Levantine","cooking","female","Levantine-cooking","v_42_Levantine_cooking_female_valence",27,3.15384615385185,1.02628185108664,2.76673751990821,3.54095478779549,FALSE
"38","vid43","Levantine","cooking","female","Levantine-cooking","v_43_Levantine_cooking_female_valence",55,3.15181818181818,1.02879665576953,2.87992626896929,3.42371009466708,FALSE
"39","vid45","Levantine","cooking","group","Levantine-cooking","v_45_Levantine_cooking_group_valence",29,3.17857142858621,1.036945081497,2.8011688631183,3.55597399405412,TRUE
"40","vid46","Levantine","cooking","group","Levantine-cooking","v_46_Levantine_cooking_group_valence",26,3.32,0.968297474952816,2.94780527272558,3.69219472727442,FALSE
"41","vid47","Levantine","cooking","group","Levantine-cooking","v_47_Levantine_cooking_group_valence",26,2.52,1.0998181667894,2.09725127532778,2.94274872467222,FALSE
"42","vid48","Levantine","cooking","male","Levantine-cooking","v_48_Levantine_cooking_male_valence",31,3.33333333332258,0.869226987360353,3.0273481158105,3.63931855083466,FALSE
"43","vid49","Levantine","cooking","male","Levantine-cooking","v_49_Levantine_cooking_male_valence",27,3.26923076922222,1.05821665324597,2.8700764797639,3.66838505868055,TRUE
"44","vid5","Ukraine","cooking","female","Ukraine-cooking","v_5_Ukraine_cooking_female_valence",21,3.25,0.99373034571759,2.8249823205114,3.6750176794886,TRUE
"45","vid50","Levantine","cooking","male","Levantine-cooking","v_50_Levantine_cooking_male_valence",27,3.5,0.930260509419063,3.14911015952232,3.85088984047768,FALSE
"46","vid51","Levantine","cooking","male","Levantine-cooking","v_51_Levantine_cooking_male_valence",28,3.37037037035714,0.9486109981382,3.01900639598925,3.72173434472504,FALSE
"47","vid52","Levantine","cooking","male","Levantine-cooking","v_52_Levantine_cooking_male_valence",30,4.03448275863333,0.764864586648925,3.76078451079955,4.30818100646711,FALSE
"48","vid53","Levantine","cooking","male","Levantine-cooking","v_53_Levantine_cooking_male_valence",23,2.68181818182609,1.10315100904651,2.23098160912124,3.13265475453093,FALSE
"49","vid54","Levantine","music","female","Levantine-music","v_54_Levantine_music_female_valence",19,3.05555555557895,0.970236066476277,2.61929223049928,3.49181888065862,FALSE
"50","vid55","Levantine","music","female","Levantine-music","v_55_Levantine_music_female_valence",22,3.66666666668182,0.835710894037345,3.31745172760729,4.01588160575635,FALSE
"51","vid56","Levantine","music","female","Levantine-music","v_56_Levantine_music_female_valence",22,2.38095238095455,1.04545230476667,1.94409369511084,2.81781106679825,FALSE
"52","vid57","Levantine","music","female","Levantine-music","v_57_Levantine_music_female_valence",21,2.65,1.15217186218029,2.15721700977913,3.14278299022087,FALSE
"53","vid58","Levantine","music","group","Levantine-music","v_58_Levantine_music_group_valence",20,3.63157894735,0.929659038560826,3.22414539617534,4.03901249852466,FALSE
"54","vid59","Levantine","music","group","Levantine-music","v_59_Levantine_music_group_valence",21,3.15,1.06183802907977,2.69585271843908,3.60414728156092,FALSE
"55","vid6","Ukraine","cooking","female","Ukraine-cooking","v_6_Ukraine_cooking_female_valence",20,3.05263157895,1.04999670227684,2.59245869041163,3.51280446748836,FALSE
"56","vid60","Levantine","music","group","Levantine-music","v_60_Levantine_music_group_valence",22,2.80952380954545,0.957131011535323,2.40957156497807,3.20947605411284,FALSE
"57","vid61","Levantine","music","group","Levantine-music","v_61_Levantine_music_group_valence",19,3.88888888889474,1.04822012578407,3.41756029857463,4.36021747921484,FALSE
