"","vid","nationality","condition","composition","conditions","new_label","n","mean","sd","lower_ci","upper_ci","selected"
"1","vid18","Ukraine","music","female","Ukraine-music","v_18_Ukraine_music_female_preference",19,3.94736842105263,1.0787690624311,3.46230360597262,4.43243323613264,FALSE
"2","vid70","Levantine","music","group","Levantine-music","v_70_Levantine_music_group_preference",21,3.9047619047619,1.09108945117996,3.43810381320475,4.37141999631906,FALSE
"3","vid20","Ukraine","music","group","Ukraine-music","v_20_Ukraine_music_group_preference",20,3.9,0.967906041546987,3.47580426871191,4.32419573128809,FALSE
"4","vid17","Ukraine","music","female","Ukraine-music","v_17_Ukraine_music_female_preference",22,3.81818181818182,0.906923823984585,3.4392094364674,4.19715419989624,FALSE
"5","vid22","Ukraine","music","male","Ukraine-music","v_22_Ukraine_music_male_preference",19,3.63157894736842,0.955133865881839,3.20210627507419,4.06105161966265,FALSE
"6","vid52","Levantine","cooking","male","Levantine-cooking","v_52_Levantine_cooking_male_preference",29,3.62068965517241,1.0492784290525,3.2387982917042,4.00258101864063,FALSE
"7","vid30","Ukraine","music","group","Ukraine-music","v_30_Ukraine_music_group_preference",24,3.58333333333333,1.17645993175054,3.11265998140789,4.05400668525878,FALSE
"8","vid35","Ukraine","music","group","Ukraine-music","v_35_Ukraine_music_group_preference",22,3.54545454545455,1.01076457280863,3.12309067389265,3.96781841701644,TRUE
"9","vid61","Levantine","music","group","Levantine-music","v_61_Levantine_music_group_preference",18,3.5,1.20049009599756,2.94541206162102,4.05458793837898,TRUE
"10","vid37","Ukraine","music","male","Ukraine-music","v_37_Ukraine_music_male_preference",19,3.47368421052632,1.21876171459357,2.92567217875406,4.02169624229858,TRUE
"11","vid58","Levantine","music","group","Levantine-music","v_58_Levantine_music_group_preference",19,3.47368421052632,1.17229220156408,2.94656703617026,4.00080138488237,TRUE
"12","vid28","Ukraine","music","group","Ukraine-music","v_28_Ukraine_music_group_preference",22,3.45454545454545,1.22386089807441,2.94313593241751,3.9659549766734,TRUE
"13","vid26","Ukraine","music","group","Ukraine-music","v_26_Ukraine_music_group_preference",20,3.45,1.14593101656986,2.94778281701534,3.95221718298466,TRUE
"14","vid33","Ukraine","music","female","Ukraine-music","v_33_Ukraine_music_female_preference",18,3.44444444444444,1.09663776110663,2.93783295542979,3.95105593345909,TRUE
"15","vid62","Levantine","music","group","Levantine-music","v_62_Levantine_music_group_preference",20,3.4,1.14248114115496,2.89929476379701,3.90070523620299,TRUE
"16","vid55","Levantine","music","female","Levantine-music","v_55_Levantine_music_female_preference",21,3.38095238095238,1.16086995293144,2.88444922422662,3.87745553767814,TRUE
"17","vid56","Levantine","music","female","Levantine-music","v_56_Levantine_music_female_preference",21,3.38095238095238,1.07126982951031,2.92277112583952,3.83913363606524,TRUE
"18","vid48","Levantine","cooking","male","Levantine-cooking","v_48_Levantine_cooking_male_preference",30,3.36666666666667,0.964305479332802,3.02160072339134,3.71173260994199,TRUE
"19","vid19","Ukraine","music","group","Ukraine-music","v_19_Ukraine_music_group_preference",20,3.35,1.03998987849326,2.89421271476458,3.80578728523542,TRUE
"20","vid50","Levantine","cooking","male","Levantine-cooking","v_50_Levantine_cooking_male_preference",26,3.34615384615385,0.977437780825263,2.97044576297445,3.72186192933324,TRUE
"21","vid64","Levantine","music","male","Levantine-music","v_64_Levantine_music_male_preference",19,3.31578947368421,1.00291971424256,2.86483005829939,3.76674888906903,TRUE
"22","vid15","Ukraine","cooking","male","Ukraine-cooking","v_15_Ukraine_cooking_male_preference",23,3.30434782608696,1.18455141523531,2.82024447499729,3.78845117717662,TRUE
